TAZ,district,county,TOTACRE,county_id,TOTHH,HHPOP,EMPRES,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGE62P,SHPOP62P,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,RESACRE,CIACRE,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,household_density,employment_density,density_index
510,10,Santa Clara,1239.16253821,3,1030.0,2687.0,1000.0,114.0,74.0,87.0,755.0,108.0,575.0,354.0,973.0,677.0,835.0,0.3107554893933755,83.0,7.0,20.0,8.0,0.0,0.0,48.0,623.8754324395776,3.36276618328,0.0,0.0,4,0.0,0.0,0.0,0.9907100000000001,1,1.642119377074662,0.1323261245603854,0.1224581386318032
497,10,Santa Clara,3318.69183221,3,2159.0,6084.0,2283.0,214.0,278.0,188.0,1479.0,208.0,1120.0,1174.0,2104.0,1478.0,1848.0,0.3037475345167653,587.0,29.0,91.0,176.0,0.0,43.0,248.0,1547.697656945928,15.189325352801001,0.0,0.0,4,0.0,3048.59595,7647.6875,1.00938,1,1.3814178660727563,0.3755869788720278,0.29529944915684925
496,10,Santa Clara,4660.51650712,3,1022.0,2822.0,1269.0,78.0,45.0,94.0,805.0,97.0,593.0,522.0,1108.0,502.0,646.0,0.2289156626506024,1223.0,251.0,178.0,196.0,4.0,35.0,559.0,1275.0851676478364,77.47391858998745,0.0,0.0,5,0.0,0.0,0.0,0.9825299999999999,1,0.755604698085847,0.9042118843042963,0.41162786002627655
498,10,Santa Clara,902.9940994880001,3,1444.0,3984.0,1536.0,155.0,220.0,224.0,845.0,191.0,839.0,747.0,1490.0,717.0,897.0,0.22515060240963852,1032.0,153.0,113.0,227.0,0.0,29.0,510.0,344.3071201754612,47.06369421300611,0.0,0.0,4,0.0,0.0,0.0,1.1931,3,3.6895955112450283,2.6368854346294106,1.537828177546393
495,10,Santa Clara,5397.95545658,3,1960.0,5458.0,2442.0,94.0,116.0,140.0,1610.0,121.0,1173.0,950.0,2206.0,1008.0,1281.0,0.2347013558079883,529.0,15.0,51.0,139.0,2.0,125.0,197.0,1542.5748719342369,6.8843884558383,0.0,0.0,5,0.0,0.0,0.0,0.99879,1,1.264957427474777,0.34140942812967195,0.2688479225127188
490,10,Santa Clara,1031.66519928,3,1317.0,3738.0,1666.0,85.0,128.0,100.0,1004.0,143.0,884.0,756.0,1393.0,562.0,703.0,0.1880684858212948,3181.0,179.0,393.0,1576.0,0.0,384.0,649.0,269.87130868145425,103.72751278192939,0.0,0.0,4,0.0,7488.4082,17715.90625,1.19895,2,3.525171719871389,8.514480820737196,2.4930127258583563
489,10,Santa Clara,3080.09550723,3,2051.0,6248.0,2598.0,169.0,149.0,245.0,1488.0,220.0,1355.0,1262.0,2221.0,1190.0,1503.0,0.24055697823303454,394.0,14.0,34.0,290.0,2.0,12.0,42.0,835.5521365878524,16.4692924450485,0.0,0.0,4,2631.8479,0.0,0.0,1.08755,1,2.4072164503280358,0.462429683778277,0.38791136254774894
488,10,Santa Clara,2602.66462099,3,2554.0,7261.0,3123.0,230.0,194.0,261.0,1869.0,272.0,1691.0,1770.0,2327.0,1201.0,1514.0,0.2085112243492632,716.0,52.0,67.0,355.0,0.0,38.0,204.0,606.872681412946,26.221138624555802,0.0,0.0,4,0.0,0.0,0.0,1.16584,1,4.034157212036459,1.1309540187228289,0.8833200500972799
486,10,Santa Clara,732.938748453,3,1595.0,4807.0,2028.0,181.0,137.0,100.0,1177.0,196.0,1394.0,1538.0,1387.0,292.0,439.0,0.09132515082171833,1652.0,551.0,115.0,254.0,3.0,49.0,680.0,233.01293902184776,90.216257505483,0.0,0.0,3,0.0,0.0,0.0,1.35436,3,4.934578983384424,5.110924439216971,2.510601934262725
492,10,Santa Clara,669.983858984,3,1592.0,4802.0,2188.0,80.0,152.0,203.0,1157.0,132.0,1332.0,995.0,1858.0,485.0,654.0,0.1361932528113286,632.0,134.0,49.0,103.0,0.0,26.0,320.0,257.74757369531346,32.41402798707281,0.0,0.0,4,0.0,0.0,0.0,1.2580799999999999,2,5.486597781268863,2.1780966066343725,1.5591410961159717
