zone_id,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
609,12,12,3,1454,5144,461.0,312.0,113.0,2596,1089,350,536,619,948,1,142,0.0,0.0,4,3566.85132,0.0,0.0,3,1.36746
610,12,12,3,669,1720,147.0,49.0,33.0,1668,239,52,356,203,182,0,875,0.0,0.0,4,0.0,0.0,0.0,3,2.13081
611,12,12,3,1648,5793,434.0,302.0,72.0,1426,1241,220,198,645,269,3,91,0.0,0.0,4,0.0,0.0,0.0,3,1.32706
612,12,12,3,2151,6191,442.0,181.0945,152.0,2556,858,178,700,273,433,2,970,0.0,0.0,4,0.0,0.0,0.0,3,1.54597
613,12,12,3,1019,3785,218.0,164.0,35.0,512,818,118,51,212,101,0,30,0.0,0.0,4,0.0,0.0,0.0,2,1.33446
614,12,12,3,1296,4700,410.0,249.0,132.0,889,962,121,146,487,104,0,31,0.0,0.0,4,0.0,0.0,0.0,3,1.2094
615,12,12,3,1343,4613,4186.0,519.0,23.0,864,1043,45,292,292,100,2,133,0.0,0.0,4,0.0,0.0,0.0,1,1.11199
616,12,12,3,1255,4876,242.0,127.0,73.0,1938,1111,72,127,1396,307,1,35,0.0,0.0,4,0.0,0.0,0.0,2,1.73202
617,12,12,3,1267,4900,258.0,147.0,59.0,905,1233,226,62,462,112,0,43,0.0,0.0,4,0.0,0.0,0.0,3,1.49445
618,12,12,3,736,2700,2260.0,385.0,8.0,326,644,44,114,26,120,6,16,0.0,0.0,4,0.0,0.0,0.0,1,1.051
619,12,12,3,1465,5032,298.0,221.0,30.0,813,1105,66,131,470,87,0,59,0.0,0.0,4,0.0,0.0,0.0,2,1.38071
620,12,12,3,1035,3549,282.0,105.0,94.0,1227,740,238,211,478,236,1,63,0.0,0.0,4,0.0,0.0,0.0,3,1.46834
621,12,12,3,1204,4518,265.0,158.0,61.0,939,981,456,107,257,86,1,32,0.0,0.0,4,0.0,0.0,0.0,3,1.43572
622,12,12,3,1470,5404,336.0,286.0,49.0,447,1176,61,70,247,39,0,30,0.0,0.0,4,0.0,0.0,0.0,2,1.23169
623,12,12,3,1945,6700,399.0,348.0,16.0,427,1494,89,149,74,64,0,51,0.0,0.0,4,0.0,0.0,0.0,2,1.26384
624,12,12,3,801,2851,234.0,154.0,6.0,218,565,43,83,36,46,0,10,0.0,0.0,4,0.0,0.0,0.0,3,1.26187
625,12,12,3,1701,6072,328.0,220.0,25.0,695,1236,149,267,189,72,0,18,0.0,0.0,4,0.0,0.0,0.0,3,1.44476
626,12,12,3,1225,4570,355.0,292.0,62.0,623,1010,61,73,322,85,3,79,0.0,0.0,4,2417.89062,0.0,0.0,2,1.19464
627,12,12,3,1688,5540,421.0,300.0,42.0,941,1080,174,269,334,95,0,69,0.0,0.0,4,0.0,0.0,0.0,3,1.29368
628,12,12,3,1439,4388,4328.0,822.0,103.0,540,829,67,132,133,158,3,47,0.0,0.0,4,0.0,0.0,0.0,1,1.00393
629,12,12,3,1609,4751,739.0,569.0,52.0,636,814,46,126,271,170,0,23,0.0,0.0,4,0.0,0.0,0.0,1,1.07275
630,12,12,3,2212,7956,407.0,369.0,31.0,773,1741,224,105,174,146,10,114,0.0,0.0,3,0.0,0.0,0.0,3,1.32191
631,12,12,3,1306,4436,252.0,171.0,24.0,556,959,71,91,285,95,1,13,0.0,0.0,4,0.0,0.0,0.0,3,1.41044
632,12,12,3,1607,5449,379.0,247.0,96.0,1402,988,481,164,534,165,0,58,0.0,0.0,4,0.0,0.0,0.0,3,1.34567
633,12,12,3,2242,8581,478.0,376.0,101.0,1228,2052,83,147,800,182,2,14,0.0,0.0,4,1741.3772,0.0,0.0,3,1.31683
634,12,12,3,1425,5921,282.0,206.0,70.0,971,1526,243,126,355,203,3,41,0.0,0.0,4,0.0,0.0,0.0,3,1.41681
635,12,12,3,985,4305,246.0,189.0,54.0,633,1188,119,92,88,271,1,62,0.0,0.0,4,0.0,0.0,0.0,2,1.31345
636,12,12,3,1252,5409,338.0,286.0,52.0,1024,1458,215,330,299,158,1,21,0.0,0.0,4,0.0,238.92918,94.76437,2,1.30226
637,12,12,3,1447,4532,3895.0,1269.0,22.0,656,854,51,252,91,194,42,26,0.0,0.0,4,0.0,0.0,0.0,1,0.97951
638,12,12,3,1215,6222,246.0,206.0,30.0,315,1738,64,56,130,51,0,14,0.0,0.0,4,0.0,0.0,0.0,2,1.40742
639,12,12,3,1235,5704,245.0,182.0,63.0,784,1602,197,60,432,71,1,23,0.0,0.0,4,0.0,0.0,0.0,3,1.43456
640,12,12,3,836,3837,202.0,154.0,39.0,202,1046,32,40,75,44,0,11,0.0,0.0,4,2724.60547,0.0,0.0,3,1.28372
641,12,12,3,834,4024,263.0,165.0,87.0,1020,1072,49,110,637,207,1,16,0.0,0.0,4,0.0,0.0,0.0,2,1.3453700000000002
642,12,12,3,1013,3413,3730.0,860.0,9.0,389,723,61,94,33,181,0,20,0.0,0.0,4,0.0,0.0,0.0,1,0.98407
643,12,12,3,974,4125,348.0,176.0,23.0,258,991,60,71,84,36,0,7,0.0,0.0,4,0.0,0.0,0.0,2,1.30901
644,12,12,3,1053,4645,469.0,180.0,58.0,689,1178,248,162,121,115,2,41,0.0,0.0,4,0.0,0.0,0.0,3,1.35682
645,12,12,3,1146,4651,291.0,270.0,18.0,731,1168,75,249,271,118,1,17,0.0,0.0,4,0.0,0.0,0.0,2,1.28368
646,12,12,3,866,3509,201.0,165.0,33.0,261,876,50,63,101,37,1,9,0.0,0.0,4,0.0,0.0,0.0,2,1.25831
647,12,12,3,1231,4527,406.0,322.0,1.0,632,1074,73,122,64,359,0,14,0.0,0.0,4,0.0,0.0,0.0,1,1.22207
648,12,12,3,1681,6700,1063.0,377.0,6.0,597,1617,96,219,187,82,0,13,0.0,0.0,4,0.0,0.0,0.0,1,1.26471
649,12,12,3,1099,4442,269.0,194.0,57.0,781,1229,243,88,301,126,3,20,0.0,0.0,4,0.0,0.0,0.0,2,1.33487
650,12,12,3,1899,7465,386.0,347.0,29.0,968,1795,215,104,410,199,0,40,0.0,0.0,4,0.0,0.0,0.0,3,1.34884
651,12,12,3,1753,7288,410.0,307.0,62.0,833,1895,99,102,539,76,3,14,0.0,0.0,4,0.0,0.0,0.0,3,1.3334700000000002
652,12,12,3,1383,4831,368.0,345.0,21.0,995,1161,85,315,389,177,0,29,0.0,0.0,4,0.0,0.0,0.0,2,1.2407700000000002
653,12,12,3,3087,11575,4659.0,664.4155900000002,67.0,2930,2594,487,382,1390,570,1,100,0.0,0.0,4,0.0,1750.12073,7479.3330099999985,2,1.34112
654,12,12,3,3710,8384,2260.0,851.0,2.0,2036,1049,192,562,333,875,4,70,0.0,0.0,4,0.0,0.0,0.0,1,1.16865
655,12,12,3,3784,13464,3746.0,544.0,5.0,2321,2792,211,639,851,322,2,296,0.0,0.0,4,3274.97314,0.0,0.0,1,1.50002
656,13,13,3,1965,6762,4899.0,269.0,582.0,5735,1406,131,2083,382,701,5,2433,0.0,0.0,4,0.0,0.0,0.0,1,1.32315
657,13,13,3,2340,7796,684.0,289.11279,108.0,877,1895,96,154,154,378,10,85,0.0,0.0,4,0.0,0.0,0.0,3,1.32932
658,13,13,3,1343,4203,540.0,267.0,6.0,210,994,82,65,6,44,0,13,0.0,0.0,4,0.0,0.0,0.0,3,1.1948
