TAP,LINES
550,GG_72XaNB GG_054c_SB GG_054c_NB GG_002_NB SF_30e GG_008_NB GG_72XaSB GG_024a_SB GG_044_NB GG_72cSB GG_027b_NB GG_002_SB GG_008_SB SF_PowellH SF_47a SF_91 GG_76SB GG_76NB GG_058_NB GG_044_SB GG_024a_NB GG_058_SB GG_038_NB GG_004_NB GG_054a_NB SF_30i SF_30h SF_30c SF_PowellHb SF_30a SF_30g GG_72cNB GG_027c_NB SF_30f GG_027a_NB GG_027c_SB GG_018_SB GG_027b_SB SF_30d SF_91b GG_054a_SB GG_018_NB GG_004_SB GG_038_SB SF_PowellHc GG_027a_SB SF_PowellHa GG_74aNB
551,GG_72XaSB GG_72cSB GG_76SB
554,SF_19 SF_31 SF_16X SF_31c
555,GG_024b_SB GG_72XaNB SF_27c SF_27b GG_054b_SB GG_092_SB GG_070_SB GG_72cNB GG_76NB GG_024b_NB SF_19a SF_12 SF_47a GG_092_NB GG_74aNB SF_12a GG_054b_NB
557,GG_72XaNB GG_054c_NB GG_002_NB GG_008_NB GG_056_NB GG_76NB GG_027c_NB GG_72cNB GG_024X_NB GG_024a_NB GG_027a_NB GG_058_NB GG_044_NB GG_038_NB GG_027b_NB GG_018_NB GG_004_NB GG_74aNB GG_054a_NB
559,GG_101_SB GG_101_NB GG_054b_SB SF_49b GG_092_SB SF_31a SF_49e SF_31c GG_070_SB SF_5h SF_5i SF_5j SF_5d SF_5e SF_5f SF_5g GG_092_NB SF_5a GG_054b_NB SF_90a GG_024b_SB SF_47a SF_16Xa SF_90 SF_16X GG_024b_NB SF_19 SF_5c SF_38f SF_31 SF_49f SF_19a GG_030_SB SF_49d GG_101X_NB GG_030_NB GG_070_NB GG_101X_SB SF_38e SF_38h SF_38g
563,SF_12a GG_054c_SB GG_054c_NB GG_002_NB GG_056_NB GG_044_NB GG_024X_SB GG_72XaNB GG_72XaSB GG_024a_SB GG_008_NB GG_72cSB GG_038_SB GG_018_SB GG_002_SB SF_10 SF_91 SF_45e SF_45c GG_76NB GG_058_NB GG_024X_NB SF_12 GG_024a_NB GG_058_SB SF_10a GG_004_NB SF_10e SF_10d GG_054a_NB GG_027b_SB SF_30c SF_30b GG_76SB GG_72cNB GG_027c_NB SF_30d GG_038_NB GG_027a_NB GG_027c_SB SF_8BXa GG_027a_SB GG_027b_NB GG_018_NB SF_8Xc GG_054a_SB GG_004_SB GG_044_SB GG_74aNB GG_008_SB GG_097_SB GG_056_SB SF_8AXa
572,SF_28 GG_72XaNB GG_054c_SB GG_054c_NB GG_002_NB SF_49b GG_044_NB SF_49e SF_49d GG_72XaSB GG_024a_SB GG_008_NB GG_72cSB GG_018_SB GG_002_SB SF_90a GG_044_SB SF_47a SF_90 SF_91 GG_76SB GG_76NB GG_058_NB GG_008_SB GG_024a_NB GG_058_SB GG_038_NB SF_19 GG_004_NB GG_054a_NB GG_027b_SB SF_30i SF_30h SF_30c SF_30a SF_30g SF_30f SF_30e SF_30d SF_19a GG_027a_NB GG_027c_NB GG_027b_NB GG_018_NB SF_91b GG_054a_SB GG_004_SB GG_72cNB GG_038_SB GG_027a_SB SF_30Xa SF_30X GG_74aNB GG_027c_SB
578,SF_71La SF_71a SF_5h SF_5i SF_5j
582,GG_72XaNB SF_27c SF_27b GG_054b_SB GG_092_SB SF_12a GG_72XaSB GG_070_SB SM_292c SM_292b GG_092_NB SM_292d GG_054b_NB GG_024b_SB SF_47a GG_72cSB GG_76SB SM_292 GG_76NB GG_024b_NB SF_19 GG_72cNB SF_19a SF_12 SM_KX SM_397 GG_74aNB
584,GG_030_NB SF_3a SF_27a GG_101_NB SF_27 SF_2 SF_3 GG_024b_NB SF_19a GG_070_NB GG_101X_NB SF_2a SF_19 SF_2b GG_054b_NB
585,SF_90a GG_024X_NB SF_47a GG_101_NB SF_49b GG_056_NB SF_49f GG_101X_NB GG_030_NB GG_024b_NB SF_19a GG_070_NB SF_49e GG_054b_NB
586,GG_101_SB SF_12a SF_27c GG_101_NB GG_054b_SB SF_49b SF_49f SF_49e SF_49d SF_CALIFORNb SF_CALIFORNc GG_070_SB GG_054b_NB SF_90a GG_024b_SB SF_47a SF_90 SF_10 GG_024b_NB SF_19 SF_10e SF_CALIFORN SF_19a GG_030_SB SF_2a SF_1 SF_1b SF_1c SF_1d SF_3 GG_101X_NB GG_030_NB SF_CALIFORNa GG_070_NB GG_101X_SB
