MAZ,TAZ,COUNTY,DISTRICT,SD,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,totint,popden,retempden,access_dist_transit
100594,3115,1,1,1,0,0,55.9189,22.36756,33.55134,364,0,0,262,89,0,0,13,0,0,4,0,463.25,81.75,1,1,12.0,3.2687,0.0848,0.333
100595,3115,1,1,1,0,0,8.1598,3.2639200000000006,4.89588,326,0,0,33,278,13,1,1,0,0,4,1,0.0,0.0,1,1,2.0,0.0512,1.4347,0.333
100596,3129,1,1,1,145,347,42.0789,16.83156,25.24734,20,61,9,7,0,4,0,0,0,0,4,0,0.0,0.0,1,1,12.0,3.5409,0.0918,0.333
100597,3135,1,1,1,48,132,57.548,23.0192,34.5288,7,30,0,0,6,1,0,0,0,0,4,0,0.0,0.0,1,1,60.0,5.9839,0.0,0.333
100598,3135,1,1,1,62,136,51.7909,20.71636,31.07454,18,9,0,7,5,6,0,0,0,0,4,0,0.0,0.0,1,1,53.0,5.3514,0.0,0.333
100599,3129,1,1,1,118,266,76.7487,30.69948,46.04922,11,58,0,3,5,3,0,0,0,0,4,0,0.0,0.0,1,1,53.0,5.3514,0.0,0.333
100600,3208,1,1,1,35,81,14.1035,5.641400000000001,8.4621,15,13,0,14,0,1,0,0,0,0,4,0,0.0,0.0,1,1,99.0,7.491,0.4847,0.333
100601,3129,1,1,1,143,325,64.7372,25.89488,38.84232,5,43,0,3,0,2,0,0,0,0,4,0,0.0,0.0,1,1,54.0,10.1423,1.0543,0.333
100602,3129,1,1,1,64,155,15.6463,6.258520000000001,9.38778,1,21,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,110.0,11.8175,0.571,0.333
100603,3208,1,1,1,32,65,10.8248,4.32992,6.494879999999999,1,6,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,143.0,12.7165,0.9762,0.333
100604,3208,1,1,1,9,19,1.9474,0.7789600000000001,1.16844,27,1,0,12,0,15,0,0,0,0,4,0,0.0,0.0,1,1,149.0,9.1194,0.3345,0.333
100605,3208,1,1,1,6,15,6.7501,2.70004,4.050059999999999,0,1,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,130.0,13.3362,0.6752,0.333
100606,3274,1,1,1,48,113,7.5082,3.00328,4.50492,69,21,21,46,0,2,0,0,0,0,4,0,0.0,0.0,1,1,162.0,13.2543,0.9977,0.333
100607,3129,1,1,1,8,16,0.8212,0.32848,0.49272,0,2,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,91.0,7.2493,0.3848,0.333
100608,3208,1,1,1,19,42,16.6649,6.66596,9.99894,0,4,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,103.0,7.2889,0.5014,0.333
100609,3281,1,1,1,184,403,48.0805,19.2322,28.8483,14,65,0,5,0,9,0,0,0,0,4,0,0.0,0.0,1,1,111.0,16.7507,0.8596,0.333
100610,3274,1,1,1,83,183,15.8375,6.335000000000001,9.5025,19,33,0,2,9,8,0,0,0,0,4,0,0.0,0.0,1,1,147.0,14.4679,0.678,0.333
100611,3274,1,1,1,78,174,11.3307,4.53228,6.79842,1,29,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,167.0,22.3224,1.2491,0.333
100612,3281,1,1,1,14,36,4.1594,1.66376,2.49564,0,3,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,146.0,22.8232,1.4845,0.333
100613,3281,1,1,1,26,47,9.2751,3.71004,5.56506,3,0,0,0,3,0,0,0,0,0,4,0,0.0,0.0,1,1,154.0,24.8602,1.1853,0.333
100614,3184,1,1,1,88,216,60.5446,24.21784,36.32676,4,28,0,2,0,2,0,0,0,0,4,0,0.0,0.0,1,1,68.0,11.8037,0.0,0.333
100615,3184,1,1,1,67,173,18.1926,7.277039999999999,10.91556,1,24,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,95.0,17.2899,0.0037,0.333
100616,3286,1,1,1,135,321,19.3498,7.73992,11.60988,7,49,0,4,0,3,0,0,0,0,4,0,0.0,0.0,1,1,205.0,26.7536,1.1406,0.333
100617,3184,1,1,1,78,199,17.0465,6.818600000000001,10.2279,1,40,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,108.0,14.7431,0.1409,0.333
100618,3286,1,1,1,64,136,13.5881,5.43524,8.15286,10,19,0,5,3,2,0,0,0,0,4,0,0.0,0.0,1,1,153.0,22.4323,0.8879,0.333
100619,3184,1,1,1,72,170,24.9409,9.97636,14.96454,1,26,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,64.0,9.8141,0.0,0.333
100620,3184,1,1,1,104,246,49.2318,19.69272,29.53908,13,41,0,11,0,2,0,0,0,0,4,0,0.0,0.0,1,1,5.0,4.9968,0.0,0.333
100621,3252,1,1,1,207,495,55.5381,22.21524,33.32286,18,66,0,6,0,12,0,0,0,0,4,0,0.0,0.0,1,1,111.0,18.5383,0.9384,0.333
100622,3286,1,1,1,47,106,16.1187,6.4474800000000005,9.67122,1,8,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,147.0,20.9429,1.0261,0.333
100623,3252,1,1,1,121,295,25.2334,10.09336,15.14004,7,51,0,3,0,4,0,0,0,0,4,0,0.0,0.0,1,1,96.0,24.202,1.8788,0.333
100624,3252,1,1,1,128,290,2.9381,1.17524,1.76286,2,46,0,0,0,2,0,0,0,0,4,0,0.0,0.0,1,1,163.0,29.8726,1.9479,0.333
100625,3286,1,1,1,25,70,5.22,2.088,3.132,0,20,0,0,0,0,0,0,0,0,4,0,0.0,0.0,1,1,153.0,27.2432,1.2989,0.333
100626,3272,1,1,1,57,146,6.3784,2.5513600000000003,3.82704,1,37,0,0,0,1,0,0,0,0,4,0,0.0,0.0,1,1,164.0,12.6879,0.7964,0.333
100627,3272,1,1,1,48,114,6.2683,2.50732,3.76098,34,19,0,16,14,4,0,0,0,0,4,0,0.0,0.0,1,1,170.0,13.992,0.9638,0.333
