Description,Expression,Alternatives,EatOut,OthDiscr,OthMaint,Shopping,Social,Escort,School,University,Work,WorkBased
Drive to Light rail/Ferry - Unavailable (outbound),(driveLrfAvailableOutbound)==0,DRIVE_LRF,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Light rail/Ferry - Unavailable for zero auto households (outbound),1,DRIVE_LRF,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Light rail/Ferry - Unavailable for persons less than 16 (outbound),1,DRIVE_LRF,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Drive to Light rail/Ferry - In-vehicle time (outbound),c_ivt*DRV_LRF_WLK_TOTIVT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - In-vehicle time on Light Rail (incremental w/ ivt) (outbound),(c_ivt_lrt-c_ivt)*DRV_LRF_WLK_KEYIVT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - In-vehicle time on Ferry (incremental w/ keyivt) (outbound),(c_ivt_ferry-c_ivt_lrt)*DRV_LRF_WLK_FERRYIVT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - Short iwait time (outbound),"c_shortiWait*min(DRV_LRF_WLK_IWAIT[tripPeriod]/100,waitThresh)",DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - Long iwait time (outbound),"c_longiWait*max(DRV_LRF_WLK_IWAIT[tripPeriod]/100-waitThresh,0)",DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - transfer wait time (outbound),c_xwait*DRV_LRF_WLK_XWAIT[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
drive to Lrf - number of transfers (outbound),"c_xfers_drv*max(DRV_LRF_WLK_BOARDS[tripPeriod]-1,0)",DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Drive time (outbound),c_dtim*DRV_LRF_WLK_DTIM[tripPeriod]/100,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
Drive to Light rail/Ferry - Walk egress time (outbound),c_wegr*destinationWalkTime,DRIVE_LRF,1,1,1,1,1,1,1,1,1,1
