MAZ,TAP,DISTWALK,walk_time
511,1606,0.8442000000000001,16.884
511,1651,0.2186,4.372
511,1652,0.5059,10.118
511,1653,0.949,18.98
511,1658,0.93675,18.735
511,1665,0.0412,0.8240000000000001
511,1681,0.2955,5.91
511,1748,0.8764,17.528
512,1333,0.7715,15.43
512,1603,0.43915,8.783
512,1604,0.51895,10.379000000000001
512,1606,0.7687,15.374
512,1651,0.1443,2.886
512,1652,0.43165,8.633
512,1653,0.8747,17.494
512,1658,0.8624500000000002,17.249000000000002
512,1665,0.0631,1.262
512,1681,0.39985,7.997000000000001
512,1748,0.8021499999999999,16.043
513,1558,0.7892,15.784
513,1603,0.26235,5.247000000000001
513,1604,0.5117,10.234
513,1606,0.7614,15.228
513,1651,0.69235,13.847000000000001
513,1652,0.97965,19.593
513,1665,0.5678,11.356
513,1681,0.4655,9.31
514,1558,0.861,17.22
514,1603,0.33415,6.683
514,1604,0.58345,11.669
514,1606,0.8332,16.664
514,1651,0.57745,11.549000000000001
514,1652,0.8647500000000001,17.295
514,1665,0.4529,9.058
514,1681,0.4071000000000001,8.142000000000001
515,1603,0.562,11.24
515,1604,0.8159500000000003,16.319000000000006
515,1651,0.4611,9.222000000000001
515,1652,0.74845,14.969000000000001
515,1665,0.33655,6.731
515,1681,0.16575,3.315
516,1603,0.4980000000000001,9.96
516,1604,0.74525,14.905
516,1606,0.995,19.9
516,1651,0.3904,7.808
516,1652,0.67775,13.555
516,1665,0.26585000000000003,5.317
516,1681,0.2368000000000001,4.7360000000000015
517,1603,0.62725,12.545
517,1604,0.78275,15.655
517,1651,0.4069,8.138
517,1652,0.6942,13.884
517,1665,0.2295,4.59
517,1681,0.1072,2.144
518,1603,0.69145,13.829
518,1604,0.8537000000000001,17.074
518,1651,0.4778,9.556000000000001
518,1652,0.76515,15.302999999999999
518,1665,0.30045,6.0089999999999995
518,1681,0.0363,0.726
519,1238,0.5208,10.415999999999999
519,1333,0.7349500000000001,14.699000000000002
519,1558,0.8500499999999999,17.000999999999998
