,omaz,idx,btap,dmaz,atap,tod,utility,transit_type
1242118,14771,3798,1801,340,1674,PM,-1.19889896457,local_bus
639620,4577,7395,824,3048,1593,AM,-1.19877524914,local_bus
2581720,18775,9973,564,1488,2038,AM,-1.19877135754,local_bus
1851682,8648,6190,2242,6714,1372,AM,-1.1984935422,local_bus
840346,6281,2490,731,2148,2065,PM,-1.19829384057,local_bus
1906231,8100,6441,2280,1577,2111,PM,-1.19825983212,local_bus
973111,4422,2916,777,14302,333,PM,-1.1982323552,local_bus
2097850,19766,7366,562,10316,1404,PM,-1.19816822007,local_bus
2557966,2908,9857,1598,3033,1595,PM,-1.1978715506,local_bus
172256,8843,444,1443,1703,2118,AM,-1.19775823324,local_bus
468768,22942,1340,584,8730,2196,AM,-1.19759353698,local_bus
118800,5852,9237,1669,5915,1418,AM,-1.19684426479,local_bus
350347,5910,1631,1556,12835,765,PM,-1.19645887332,local_bus
1512889,7649,4806,2144,9585,1527,PM,-1.1960844009,local_bus
1985008,19950,6820,564,10722,1311,AM,-1.19602969534,local_bus
918173,7052,2716,2466,10770,1262,AM,-1.19566565541,local_bus
395969,13603,1094,686,8113,2293,PM,-1.19555691934,local_bus
1481903,17681,4700,264,11659,922,AM,-1.19545512936,local_bus
2179261,15068,7763,258,6046,1515,PM,-1.19497225698,local_bus
2073957,5403,7257,1556,1892,2058,PM,-1.19490335907,local_bus
786121,465,2304,1608,1768,2160,AM,-1.19457220699,local_bus
1888654,19613,6340,588,14376,337,PM,-1.19432368197,local_bus
124903,18238,340,389,8437,2377,AM,-1.19428164241,local_bus
2009157,5046,6932,731,3177,1741,AM,-1.19424237057,local_bus
747503,1036,2172,1977,22730,2097,PM,-1.194208542,local_bus
1810538,8321,6031,2359,1353,2026,PM,-1.19375572512,local_bus
1356072,14147,4240,2326,13118,845,AM,-1.19351978193,local_bus
305434,7016,1140,2439,1283,1978,AM,-1.19340685027,local_bus
1882771,13121,6300,777,18034,598,AM,-1.19311585355,local_bus
2381682,8215,8862,2392,7403,2097,PM,-1.19298358992,local_bus
639264,12621,5533,824,9085,1994,PM,-1.19251929769,local_bus
1806528,7871,6024,2177,10779,1309,PM,-1.19200845406,local_bus
64239,437,167,1608,9589,739,PM,-1.19177605429,local_bus
1535015,19564,5462,564,4058,1278,AM,-1.19146294482,local_bus
852407,2660,2524,2146,18884,433,AM,-1.19102272852,local_bus
1443558,19470,4570,655,8697,2197,PM,-1.19100320817,local_bus
927083,19151,2744,564,14103,317,AM,-1.19095834392,local_bus
913230,10229,2702,1419,287,1668,AM,-1.19090834205,local_bus
2347501,303,8910,1608,5919,1379,PM,-1.19086743432,local_bus
1728635,12114,5686,731,9573,1585,AM,-1.19068928607,local_bus
1489060,12143,4722,731,10102,1456,AM,-1.19030101857,local_bus
140282,7390,373,2144,7065,2475,AM,-1.18984460377,local_bus
1312172,4649,4077,924,2821,1828,AM,-1.18974573209,local_bus
1541725,5764,4894,1669,3543,1707,PM,-1.18922764587,local_bus
1363988,16916,4276,778,8279,2301,AM,-1.18761246369,local_bus
1271407,925,3923,1841,9408,1726,PM,-1.18723210009,local_bus
1503289,14957,4777,778,22556,1757,PM,-1.18699257736,local_bus
2585640,18271,9998,393,9803,1502,PM,-1.18692952336,local_bus
1198673,6899,3635,2466,9641,1546,PM,-1.18689273853,local_bus
1502401,2866,4775,2146,13719,709,PM,-1.18671452152,local_bus
627887,6725,9499,1443,5414,1255,AM,-1.18658641872,local_bus
1623172,7800,5245,2177,9664,1465,PM,-1.18606993974,local_bus
2273107,5594,8296,1460,7725,2115,PM,-1.18536908616,local_bus
650590,307,1862,1608,3664,177,PM,-1.18531743432,local_bus
643449,3777,1842,1556,19001,520,PM,-1.18504972482,local_bus
891449,17467,2634,307,2750,1775,PM,-1.18483588557,local_bus
2052,7312,2,2402,5408,1234,AM,-1.18481405682,local_bus
153321,1400,405,1841,5779,1366,AM,-1.18478166829,local_bus
1471999,11823,4659,747,16940,121,AM,-1.18469169942,local_bus
2316013,6218,8540,1460,4384,856,PM,-1.18444403248,local_bus
1041704,11205,3136,1336,357,1582,AM,-1.18429017057,local_bus
2099262,22637,7372,1595,7749,2106,PM,-1.18410060695,local_bus
931500,22572,2763,1764,10709,1373,PM,-1.18401342035,local_bus
2239076,10642,8058,1419,7616,2157,PM,-1.18395222405,local_bus
1645526,10799,5334,1443,13964,690,PM,-1.18380220969,local_bus
1080932,3636,7990,1556,18055,608,AM,-1.18367939824,local_bus
630593,10997,4530,1223,12191,860,AM,-1.18364346258,local_bus
1338216,2471,4151,2146,14897,198,AM,-1.18355493832,local_bus
1772605,9436,5881,1841,19063,362,PM,-1.18314578944,local_bus
1167059,10837,3556,1145,3224,1778,PM,-1.18289243532,local_bus
587812,9796,1662,1587,13589,707,AM,-1.18236810937,local_bus
915140,1774,2709,2177,3206,1776,PM,-1.18221809011,local_bus
1297171,5331,4021,1556,11730,790,AM,-1.18220369682,local_bus
834690,731,2471,1238,2669,1992,PM,-1.18176364669,local_bus
555140,3657,8950,1556,14285,333,PM,-1.18160250762,local_bus
1434707,7349,4524,2402,14880,117,PM,-1.18134882357,local_bus
66710,19639,174,564,12915,660,PM,-1.18127634897,local_bus
2325378,7462,8581,2144,7855,2148,AM,-1.1811960744,local_bus
848518,4498,2513,824,12369,840,AM,-1.18110124782,local_bus
2090199,9548,7322,1506,18366,405,AM,-1.18097160921,local_bus
2391952,6893,8926,2439,1881,2058,PM,-1.18077554692,local_bus
1982922,14758,6818,226,779,1694,AM,-1.18027807887,local_bus
619133,14656,1773,251,8801,1799,AM,-1.1802612544,local_bus
1096385,12254,3673,731,2861,1826,PM,-1.18021618407,local_bus
2124306,4383,7501,777,11862,725,PM,-1.1801926172,local_bus
1897114,7228,6379,2439,15086,214,AM,-1.18012278022,local_bus
2514041,32,9609,1764,15171,67,PM,-1.17970968005,local_bus
2303820,7747,8458,2146,19751,528,PM,-1.17957110175,local_bus
536453,11202,5570,1336,4654,957,PM,-1.17951191832,local_bus
2436588,6259,9171,1460,12114,836,PM,-1.17941957121,local_bus
2004598,12512,6910,747,3682,1142,PM,-1.17891820707,local_bus
161981,1820,420,1841,14914,105,AM,-1.17868888077,local_bus
1864163,2644,6238,2144,5179,1038,AM,-1.17868367827,local_bus
2072108,98,7251,1764,9497,1579,AM,-1.1783466125,local_bus
2178689,3806,7759,1556,3925,1413,PM,-1.17826324257,local_bus
1786770,2235,5959,1333,10376,1435,PM,-1.17814194807,local_bus
1169455,7340,3563,2392,10110,1456,PM,-1.17813234627,local_bus
989016,5891,9574,1556,20229,717,AM,-1.17810786882,local_bus
1916832,12230,6495,824,3251,245,PM,-1.17809377782,local_bus
498814,15273,1410,226,6457,1409,PM,-1.17756414957,local_bus
929587,2329,2756,2146,14644,233,PM,-1.17733624702,local_bus
2429702,1037,9134,1977,5870,1544,PM,-1.177333542,local_bus
2577937,12418,9960,731,3583,1636,AM,-1.17730804257,local_bus
1580496,5909,5080,1556,3686,1142,PM,-1.17725887332,local_bus
2314276,19572,8529,588,9601,1525,PM,-1.17721539874,local_bus
1489561,187,4727,1595,10431,1423,PM,-1.1771493731,local_bus
1412186,6459,6705,1466,15271,74,PM,-1.17713852644,local_bus
703108,18750,8226,562,7972,2296,PM,-1.17705909357,local_bus
602978,12241,1717,824,14582,1073,AM,-1.17699111282,local_bus
224077,17714,588,2326,624,1612,PM,-1.17673999323,local_bus
701288,1505,3803,1974,19766,545,PM,-1.17642468747,local_bus
1458224,2892,4625,1669,3114,1685,AM,-1.17606811707,local_bus
2430457,14884,9139,1801,5576,1265,PM,-1.17600682624,local_bus
1821274,10672,6067,1336,5461,1157,PM,-1.17594389682,local_bus
1732441,6811,5710,2392,3151,1631,AM,-1.17592269627,local_bus
612239,1783,1750,2177,22737,2047,AM,-1.17394113879,local_bus
2335783,4610,8612,731,3180,1776,AM,-1.17385181337,local_bus
316351,14791,868,288,19063,362,AM,-1.17380934609,local_bus
2376327,6633,8834,2388,13752,684,PM,-1.17373371553,local_bus
2533986,4594,9717,824,6854,2483,AM,-1.17371985357,local_bus
1932103,11359,8441,747,8121,2310,AM,-1.17356681832,local_bus
2219653,11496,7960,747,2205,1897,AM,-1.17309526182,local_bus
2534990,11804,9725,747,3368,1356,AM,-1.17277825737,local_bus
358179,11530,965,747,3788,1305,PM,-1.17269073657,local_bus
1832592,16773,6124,778,3351,1850,AM,-1.17228678091,local_bus
1126522,4974,3399,924,1245,1525,PM,-1.17200492677,local_bus
2241891,18714,8080,564,3626,1687,PM,-1.17197220732,local_bus
1559631,2905,5765,2144,4316,1081,PM,-1.17194025277,local_bus
580322,18100,6456,2326,1258,1483,PM,-1.17160553748,local_bus
1490930,17515,4737,264,14556,270,PM,-1.17146608363,local_bus
743347,5681,4853,1460,14061,679,AM,-1.17077172336,local_bus
1392897,2226,4382,2144,17721,1150,PM,-1.17073873905,local_bus
2115858,14866,7452,228,15709,19,AM,-1.17065197032,local_bus
1273107,5599,3931,1669,7694,2120,PM,-1.17058934082,local_bus
792810,7499,4621,2144,6851,2452,AM,-1.17055251427,local_bus
2523283,5732,9648,1669,9215,1990,PM,-1.17042992907,local_bus
511951,17807,1442,264,9715,1527,PM,-1.17039852838,local_bus
68047,16902,180,778,3933,1386,PM,-1.17032160661,local_bus
385361,3734,1053,1556,17369,220,AM,-1.17005978719,local_bus
1038771,2241,3124,1333,3360,1850,AM,-1.16994124617,local_bus
420010,13423,1178,686,3833,1352,PM,-1.16953622944,local_bus
116086,10796,7038,1443,11083,1206,PM,-1.16936632902,local_bus
1741971,10021,7111,1419,9678,1465,AM,-1.16881500165,local_bus
883191,8796,2605,1841,2527,1914,PM,-1.16859608607,local_bus
2453911,11018,9252,1145,10126,1575,AM,-1.16806903647,local_bus
1846514,14472,6175,288,959,1762,AM,-1.16793307419,local_bus
2098147,19766,7653,564,10747,1310,AM,-1.16749322007,local_bus
1616098,5334,5688,1556,16817,121,PM,-1.16615534457,local_bus
1851101,14476,6186,288,19615,566,AM,-1.16601308836,local_bus
1343929,7612,4177,2144,17433,252,PM,-1.16590251592,local_bus
2072914,18054,9227,2326,7281,2413,AM,-1.16582251473,local_bus
1629403,13535,5271,686,5841,1493,AM,-1.16554968552,local_bus
891950,1809,2635,1969,3184,1704,AM,-1.16529293757,local_bus
1901071,12498,7123,747,7418,2097,PM,-1.16469645177,local_bus
1949560,8908,6652,1590,3706,1450,AM,-1.16462071402,local_bus
880664,4415,2597,777,9625,1465,AM,-1.16340747995,local_bus
2090029,8293,7320,2358,11955,828,PM,-1.16301841407,local_bus
1400589,2764,4410,2146,15638,10,AM,-1.1624808249,local_bus
1963393,17998,6736,584,11867,720,PM,-1.16226930498,local_bus
1447531,2248,9080,1333,8817,1783,AM,-1.16188486729,local_bus
130423,3239,352,1556,17576,264,PM,-1.16153589582,local_bus
682107,17756,3573,2326,22809,2176,PM,-1.16138812398,local_bus
387861,7892,1062,2177,3580,1636,AM,-1.16126467456,local_bus
888201,16913,7106,778,395,1013,PM,-1.16092181611,local_bus
2456854,492,9275,1607,9345,1841,PM,-1.16087195014,local_bus
1130597,6199,3410,1507,1203,1529,PM,-1.1607798586,local_bus
1883231,5390,7033,1556,13174,777,AM,-1.16060233782,local_bus
675907,11164,7717,1223,9410,1728,PM,-1.16055094548,local_bus
2136270,10004,7565,1443,2663,1944,PM,-1.16052726499,local_bus
854446,10887,2529,1143,7167,2441,PM,-1.16002695387,local_bus
1349150,18867,4209,562,22776,2168,AM,-1.15987739457,local_bus
1228884,11950,9688,731,4339,383,AM,-1.15963588752,local_bus
1649255,10820,5349,1223,5531,1234,PM,-1.15951614363,local_bus
1139203,485,3455,1238,10312,1417,PM,-1.15947832557,local_bus
2522661,2754,9644,2144,3042,1643,AM,-1.15946119717,local_bus
1291159,2325,4004,2144,348,1563,AM,-1.1593428315,local_bus
1767463,5921,5864,1556,7789,336,AM,-1.15922152789,local_bus
1412388,6358,4449,1460,722,1592,PM,-1.15867763466,local_bus
1171716,246,3571,1238,865,1698,PM,-1.15850298207,local_bus
775678,1628,2259,2242,2097,2002,PM,-1.1584971057,local_bus
2526630,4527,9676,924,22562,1776,AM,-1.15846188779,local_bus
660325,15056,6532,1801,939,1673,PM,-1.15839106789,local_bus
258282,4785,691,924,14078,323,AM,-1.15834439249,local_bus
1573076,12562,5032,824,3662,1541,AM,-1.15802371084,local_bus
644558,19176,1845,424,11400,842,AM,-1.15800089994,local_bus
