ZONE,COUNTY,EXTERNAL,DISTRICT,SUPER_DIST_25,tot_acres,tot_hhs,hhs_pop,workers,grppop,tot_pop,tot_emp,e01_nrm,e02_constr,e03_manuf,e04_whole,e05_retail,e06_trans,e07_utility,e08_infor,e09_finan,e10_pstsvc,e11_compmgt,e12_admsvc,e13_edusvc,e14_medfac,e15_hospit,e16_leisure,e17_othsvc,e18_pubadm,WrkPrkCost,NonWrkPrk,PRKCST,OPRKCST,AirportADT,AreaType,UMI,CBD,DET,K_8,G9_12,k12enroll,Univ_Enrollment,University_Name,TERMINAL,TOPOLOGY,parking_spaces
200,1,0,51,1,59.842243,55.0,65.0,28.0,0.0,65.0,699.0,0.0,41.0,67.0,24.0,21.0,141.0,0.0,12.0,11.0,17.0,0.0,9.0,0.0,78.0,0.0,90.0,99.0,89.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
201,1,0,51,4,156.851456,59.0,64.0,60.0,0.0,64.0,1378.0,0.0,122.0,64.0,62.0,41.0,55.0,0.0,70.0,18.0,29.0,0.0,180.0,8.0,220.0,0.0,40.0,113.0,356.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,36.0,208.0,244.0,0.0,0,0,1,0.0
202,1,0,50,1,23.958202,55.0,76.0,40.0,0.0,76.0,1500.0,0.0,17.0,90.0,6.0,13.0,2.0,0.0,12.0,705.0,183.0,0.0,28.0,3.0,179.0,0.0,142.0,120.0,0.0,200.0,71.0,25.0,8.875,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
203,1,0,50,1,13.005362,18.0,19.0,4.0,0.0,19.0,2923.0,0.0,86.0,5.0,5.0,35.0,6.0,0.0,354.0,638.0,690.0,69.0,319.0,16.0,53.0,0.0,149.0,24.0,474.0,256.0,118.0,32.0,14.75,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
204,1,0,50,1,10.802926,0.0,0.0,0.0,0.0,0.0,2214.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,14.0,12.0,0.0,56.0,0.0,42.0,0.0,4.0,104.0,1973.0,0.0,35.0,0.0,4.375,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
205,1,0,50,1,17.945451000000006,0.0,0.0,0.0,0.0,0.0,562.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,152.0,79.0,53.0,0.0,8.0,0.0,7.0,0.0,0.0,188.0,45.0,0.0,35.0,0.0,4.375,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
206,1,0,50,1,13.67443,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,140.0,0.0,17.5,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
207,1,0,50,1,14.654917999999999,0.0,0.0,0.0,0.0,0.0,1705.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,0.0,58.0,0.0,0.0,0.0,7.0,15.0,1466.0,140.0,0.0,17.5,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
208,1,0,49,1,13.422013,207.0,284.0,116.0,0.0,284.0,239.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,175.0,6.0,20.0,0.0,11.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
209,1,0,49,1,46.247253,0.0,0.0,0.0,0.0,0.0,3086.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,3037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
210,1,0,49,1,23.748887,0.0,0.0,0.0,0.0,0.0,2021.0,0.0,14.0,0.0,2.0,6.0,12.0,1650.0,0.0,86.0,15.0,186.0,31.0,0.0,0.0,0.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
211,1,0,49,1,14.626191,0.0,0.0,0.0,0.0,0.0,407.0,0.0,4.0,0.0,1.0,11.0,6.0,0.0,2.0,20.0,81.0,0.0,37.0,3.0,96.0,22.0,81.0,43.0,0.0,104.0,35.0,13.0,4.375,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
212,1,0,49,1,17.323292000000002,189.0,201.0,56.0,0.0,201.0,193.0,0.0,2.0,2.0,0.0,15.0,26.0,0.0,2.0,9.0,55.0,0.0,14.0,0.0,27.0,0.0,20.0,21.0,0.0,108.0,59.0,13.5,7.375,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
213,1,0,49,1,16.664503,580.0,715.0,413.0,0.0,715.0,1559.0,0.0,3.0,20.0,3.0,55.0,23.0,0.0,88.0,410.0,319.0,0.0,42.0,21.0,49.0,0.0,238.0,288.0,0.0,160.0,150.0,20.0,18.75,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
214,1,0,49,1,12.214883,392.0,467.0,255.0,0.0,467.0,251.0,0.0,12.0,2.0,8.0,23.0,9.0,0.0,11.0,27.0,35.0,0.0,25.0,6.0,29.0,0.0,20.0,44.0,0.0,160.0,150.0,20.0,18.75,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
215,1,0,49,1,45.050559,489.0,626.0,323.0,0.0,626.0,1456.0,0.0,55.0,0.0,38.0,3.0,0.0,0.0,88.0,76.0,141.0,0.0,39.0,13.0,127.0,0.0,712.0,108.0,56.0,128.0,59.0,16.0,7.375,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.0
