zone_id,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL
120,3,3,1,1127,3440,78.0,30.0,10.0,556,654,105,133,157,136,2,23,0.0,0.0,2,0.0,0.0,0.0,2,2.97084
121,3,3,1,1307,3196,140.0,52.0,11.0,617,365,184,119,127,130,0,57,0.0,0.0,3,0.0,0.0,0.0,1,2.18894
122,3,3,1,2159,5506,160.0,72.0,5.0,809,699,155,156,324,161,0,13,0.0,0.0,3,0.0,0.0,0.0,1,2.57629
123,3,3,1,1787,4453,89.0,37.0,16.0,2758,528,318,452,986,917,4,81,0.0,0.0,1,0.0,0.0,0.0,1,4.574
124,3,3,1,1458,3920,94.0,39.0,3.0,873,651,82,71,97,603,0,20,0.0,0.0,3,0.0,0.0,0.0,1,3.39235
125,3,3,1,1069,2962,82.0,38.0,3.0,330,473,102,69,88,58,5,8,0.0,0.0,3,0.0,0.0,0.0,1,2.48345
126,3,3,1,1460,4375,122.0,63.0,1.0,299,778,117,87,38,51,0,6,0.0,0.0,3,0.0,0.0,0.0,1,2.27178
127,3,3,1,1833,4013,128.0,71.0,6.0,634,395,167,142,176,129,0,20,0.0,0.0,2,0.0,0.0,0.0,1,2.14578
128,3,3,1,2522,5291,119.0,69.0,4.11321,616,478,168,129,188,116,1,14,0.0,0.0,3,0.0,0.0,0.0,1,2.50173
129,3,3,1,2126,4058,148.0,76.0,1.0,440,311,100,119,122,94,0,5,0.0,0.0,2,0.0,0.0,0.0,1,2.04766
130,3,3,1,1924,4260,307.0,103.0,43.0,1468,500,279,229,298,633,0,29,0.0,0.0,2,1533.52356,0.0,0.0,1,1.83007
131,3,3,1,2656,6407,348.0,199.0,1.0,907,742,259,239,200,192,2,15,0.0,0.0,3,0.0,0.0,0.0,1,1.64217
132,3,3,1,1504,4166,205.0,104.94115,15.0,1903,618,266,419,576,610,0,32,0.0,0.0,3,947.84723,0.0,0.0,1,2.1749400000000003
133,3,3,1,2502,6345,280.0,116.0,67.0,7293,821,287,1626,4701,639,0,40,0.0,0.0,3,0.0,7144.64307,22523.3457,1,3.20356
134,3,3,1,2518,8712,254.0,118.06819,17.0,1099,1379,264,184,280,321,0,50,0.0,0.0,3,0.0,0.0,0.0,1,2.35426
